TriNum is 3 		divby: 2
TriNum is 6 		divby: 4
TriNum is 10 		divby: 4
TriNum is 15 		divby: 4
TriNum is 21 		divby: 4
TriNum is 28 		divby: 6
TriNum is 36 		divby: 9
TriNum is 45 		divby: 6
TriNum is 55 		divby: 4
TriNum is 66 		divby: 8
TriNum is 78 		divby: 8
TriNum is 91 		divby: 4
TriNum is 105 		divby: 8
TriNum is 120 		divby: 16
TriNum is 136 		divby: 8
TriNum is 153 		divby: 6
TriNum is 171 		divby: 6
TriNum is 190 		divby: 8
TriNum is 210 		divby: 16
TriNum is 231 		divby: 8
TriNum is 253 		divby: 4
TriNum is 276 		divby: 12
TriNum is 300 		divby: 18
TriNum is 325 		divby: 6
TriNum is 351 		divby: 8
TriNum is 378 		divby: 16
TriNum is 406 		divby: 8
TriNum is 435 		divby: 8
TriNum is 465 		divby: 8
TriNum is 496 		divby: 10
TriNum is 528 		divby: 20
TriNum is 561 		divby: 8
TriNum is 595 		divby: 8
TriNum is 630 		divby: 24
TriNum is 666 		divby: 12
TriNum is 703 		divby: 4
TriNum is 741 		divby: 8
TriNum is 780 		divby: 24
TriNum is 820 		divby: 12
TriNum is 861 		divby: 8
TriNum is 903 		divby: 8
TriNum is 946 		divby: 8
TriNum is 990 		divby: 24
TriNum is 1035 		divby: 12
TriNum is 1081 		divby: 4
TriNum is 1128 		divby: 16
TriNum is 1176 		divby: 24
TriNum is 1225 		divby: 9
TriNum is 1275 		divby: 12
TriNum is 1326 		divby: 16
TriNum is 1378 		divby: 8
TriNum is 1431 		divby: 8
TriNum is 1485 		divby: 16
TriNum is 1540 		divby: 24
TriNum is 1596 		divby: 24
TriNum is 1653 		divby: 8
TriNum is 1711 		divby: 4
TriNum is 1770 		divby: 16
TriNum is 1830 		divby: 16
TriNum is 1891 		divby: 4
TriNum is 1953 		divby: 12
TriNum is 2016 		divby: 36
TriNum is 2080 		divby: 24
TriNum is 2145 		divby: 16
TriNum is 2211 		divby: 8
TriNum is 2278 		divby: 8
TriNum is 2346 		divby: 16
TriNum is 2415 		divby: 16
TriNum is 2485 		divby: 8
TriNum is 2556 		divby: 18
TriNum is 2628 		divby: 18
TriNum is 2701 		divby: 4
TriNum is 2775 		divby: 12
TriNum is 2850 		divby: 24
TriNum is 2926 		divby: 16
TriNum is 3003 		divby: 16
TriNum is 3081 		divby: 8
TriNum is 3160 		divby: 16
TriNum is 3240 		divby: 40
TriNum is 3321 		divby: 10
TriNum is 3403 		divby: 4
TriNum is 3486 		divby: 16
TriNum is 3570 		divby: 32
TriNum is 3655 		divby: 8
TriNum is 3741 		divby: 8
TriNum is 3828 		divby: 24
TriNum is 3916 		divby: 12
TriNum is 4005 		divby: 12
TriNum is 4095 		divby: 24
TriNum is 4186 		divby: 16
TriNum is 4278 		divby: 16
TriNum is 4371 		divby: 8
TriNum is 4465 		divby: 8
TriNum is 4560 		divby: 40
TriNum is 4656 		divby: 20
TriNum is 4753 		divby: 6
TriNum is 4851 		divby: 18
TriNum is 4950 		divby: 36
TriNum is 5050 		divby: 12
TriNum is 5151 		divby: 8
TriNum is 5253 		divby: 8
TriNum is 5356 		divby: 12
TriNum is 5460 		divby: 48
TriNum is 5565 		divby: 16
TriNum is 5671 		divby: 4
TriNum is 5778 		divby: 16
TriNum is 5886 		divby: 16
TriNum is 5995 		divby: 8
TriNum is 6105 		divby: 16
TriNum is 6216 		divby: 32
TriNum is 6328 		divby: 16
TriNum is 6441 		divby: 8
TriNum is 6555 		divby: 16
TriNum is 6670 		divby: 16
TriNum is 6786 		divby: 24
TriNum is 6903 		divby: 12
TriNum is 7021 		divby: 8
TriNum is 7140 		divby: 48
TriNum is 7260 		divby: 36
TriNum is 7381 		divby: 6
TriNum is 7503 		divby: 8
TriNum is 7626 		divby: 16
TriNum is 7750 		divby: 16
TriNum is 7875 		divby: 24
TriNum is 8001 		divby: 12
TriNum is 8128 		divby: 14
TriNum is 8256 		divby: 28
TriNum is 8385 		divby: 16
TriNum is 8515 		divby: 8
TriNum is 8646 		divby: 16
TriNum is 8778 		divby: 32
TriNum is 8911 		divby: 8
TriNum is 9045 		divby: 16
TriNum is 9180 		divby: 48
TriNum is 9316 		divby: 12
TriNum is 9453 		divby: 8
TriNum is 9591 		divby: 8
TriNum is 9730 		divby: 16
TriNum is 9870 		divby: 32
TriNum is 10011 		divby: 8
TriNum is 10153 		divby: 8
